Org,Description
1,African Development Bank
2,Andean Development Corporation
3,Arab Bank for Economic Development in Africa
4,Arab Fund for Economic and Social Development
5,Arab Monetary Fund
6,Asian Development Bank
7,Australia - Australian Agency for International Development
8,Australia - Australian Consulate
9,Australia - Australian High Commission
10,Australia - Australian Representative Office
11,Australia - Embassy of Australia
12,Australia - Embassy of Australia in Nairobi
13,Australia - Embassy of Australia in New Delhi
14,Australia - Embassy of Australia in Seoul
15,Australia - Embassy of Australia in Vienna
16,Austria - Austrian Development Agency
17,Austria - Austrian Representative Office
18,Austria - Embassy of Austria
19,Austria - Embassy of Austria in New Delhi
20,Bank of the South
21,Belgium - Belgian Consulate General in Jerusalem
22,Belgium - Belgian Development Agency
23,Belgium - Embassy of Belgium
24,Bolivarian Alliance for the Peoples of Our America
25,Brazil - Brazilian Cooperation Agency
26,Brazil - Brazilian Development Bank
27,Brazil - Embassy of Brazil
28,Brazil - Embassy of Brazil in Cairo
29,Bulgaria - Embassy of Bulgaria
30,Canada - Canada Representative Office
31,Canada - Canadian Cooperation Office
32,"Canada - Canadian Department of Foreign Affairs, Trade, and Development"
33,Canada - Canadian High Commission
34,Canada - Canadian High Commission in Nairobi
35,Canada - Canadian Interests Section
36,Canada - Canadian International Development Agency
37,Canada - Consulate of Canada
38,Canada - Embassy of Canada
39,Canada - Embassy of Canada in Bamako
40,Canada - Embassy of Canada in Zagreb
41,Caribbean Development Bank
42,Central American Bank for Economic Integration
43,China - China Development Bank
44,China - Consulate of China
45,China - Embassy of China
46,China - Export-Import Bank of China
47,China - Office of the Embassy of China
48,Denmark - Danish International Development Agency
49,Denmark - Embassy of Denmark
50,Denmark - Embassy of Denmark in Beijing
51,Denmark - Liaison Office of Denmark
52,Denmark - Representation Office of Denmark
53,European Bank for Reconstruction and Development
54,European Union
55,Finland - Embassy of Finland
56,Finland - Embassy of Finland in Seoul
57,France - Agence Franaise de Developpement
58,France - Consulate General of France in Jerusalem
59,France - Embassy of France
60,France - Embassy of France in Nairobi
61,Germany - Consulate General of Germany
62,Germany - Embassy of Germany
63,Germany - Embassy of Germany in Nairobi
64,Germany - Embassy of Germany in New Delhi
65,Germany - Gesellschaft fur Internationale Zusammenarbeit
66,Germany - KfW
67,Germany - Representative Office of Germany
68,Global Alliance for Vaccines and Immunization
69,Global Environment Facility
70,"Global Fund to Fight AIDS, Tuberculosis and Malaria"
71,Greece - Embassy of Greece
72,Greece - Hellenic Aid
73,Greece - Liaison Office of Greece
74,India - Embassy of India
75,India - Embassy of India in Nairobi
76,India - Export-Import Bank of India
77,India - Representative Office of India
78,Inter-American Development Bank
79,International Fund for Agricultural Development
80,International Monetary Fund
81,Iran - Embassy of Iran
82,Iran - Embassy of Iran in Damascus
83,Ireland - Embassy of Ireland
84,Ireland - Irish Aid; Ireland - Development Cooperation Ireland
85,Islamic Development Bank
86,Japan - Embassy of Japan
87,Japan - Embassy of Japan in Nairobi
88,Japan - Embassy of Japan in New Delhi
89,Japan - Japan Bank for International Cooperation
90,Japan - Japan International Cooperation Agency
91,Japan - Representative Office of Japan
92,Kuwait - Embassy of Kuwait
93,Kuwait - Embassy of Kuwait in Cairo
94,Kuwait - Kuwait Fund for Arab Economic Development
95,Libya - Embassy of Libya
96,Libya - Libyan Fund for Aid and Development in Africa
97,Luxembourg - Embassy of Luxembourg
98,Luxembourg - Luxembourg Development Cooperation
99,Netherlands - Embassy of the Netherlands
100,Netherlands - Embassy of the Netherlands in New Delhi
101,Netherlands - Embassy of the Netherlands in Seoul
102,New Zealand - Embassy of New Zealand
103,New Zealand - New Zealand Agency for International Development
104,Norway - Embassy of Norway
105,Norway - Embassy of Norway in Seoul
106,Norway - Norwegian Agency for Development Cooperation
107,Norway - Norwegian Investment Fund for Developing Countries
108,Norway - Representative Office of Norway
109,OPEC Fund for International Development
110,Poland - Embassy of Poland
111,Portugal - Embassy of Portugal
112,Qatar - Embassy of Qatar
113,Qatar - Ministry of Foreign Affairs of Qatar
114,Qatar - Representative Office of Qatar
115,Russia - Embassy of Russia
116,Saudi Arabia - Embassy of Saudi Arabia
117,Saudi Arabia - Saudi Fund for Development
118,South Africa - Embassy of South Africa
119,South Africa - Embassy of South Africa in Addis Ababa
120,South Korea - Embassy of South Korea
121,South Korea - Korea International Co-operation Agency
122,Spain - Consulate General of Spain in Jerusalem
123,Spain - Embassy of Spain
124,Spain - Spanish Agency for International Development Cooperation
125,Sweden - Consulate General of Sweden in Jerusalem
126,Sweden - Embassy of Sweden
127,Sweden - Swedish International Development Cooperation Agency
128,Switzerland - Embassy of the Swiss Confederation
129,Switzerland - Embassy of the Swiss Confederation in New Delhi
130,Switzerland - Representative Office of the Swiss Confederation
131,Switzerland - Swiss Agency for Development and Cooperation
132,Taiwan - Embassy of Taiwan
133,Taiwan - International Cooperation and Development Fund
134,Turkey - Consulate General of Turkey in Jerusalem
135,Turkey - Embassy of Turkey
136,Turkey - Embassy of Turkey in Seoul
137,Turkey - Turkish International Cooperation and Development Agency
138,United Arab Emirates - Abu Dhabi Fund for Development
139,United Arab Emirates - Embassy of the United Arab Emirates
140,United Arab Emirates - Embassy of the United Arab Emirates in Ankara
141,United Arab Emirates - Representative Office of the United Arab Emirates
142,United Kingdom - British Consulate General in Jerusalem
143,United Kingdom - British Embassy
144,United Kingdom - British High Commission
145,United Kingdom - Department for International Development
146,United Nations
147,United Nations Children's Fund
148,United Nations Development Program
149,United States - Consulate General of the United States
150,United States - Consulate General of the United States in Jerusalem
151,United States - Millennium Challenge Corporation
152,United States - U.S. Agency for International Development
153,United States - U.S. Embassy
154,United States - U.S. Embassy in Dakar
155,United States - U.S. Embassy in Nairobi
156,United States - U.S. Embassy in New Delhi
157,United States - U.S. Interests Section
158,Venezuela - Economic and Social Development Bank of Venezuela
159,Venezuela - Embassy of Venezuela
160,Venezuela - PetroCaribe
161,World Bank
